Country name,Happiness Rank,Happiness score,Upperwhisker,Lowerwhisker,Economy (GDP per Capita)	,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
Guinea,102,4.984,5.16,4.808,0.42,0.399,0.206,0.384,0.25,0.111,2021
South Africa,103,4.956,5.074,4.839,0.967,0.895,0.265,0.447,0.144,0.051,2021
Turkey,104,4.948,5.038,4.857,1.26,0.809,0.59,0.236,0.097,0.104,2021
Pakistan,105,4.934,5.066,4.802,0.637,0.423,0.322,0.418,0.252,0.097,2021
Morocco,106,4.918,5.036,4.8,0.792,0.219,0.558,0.477,0.034,0.088,2021
Venezuela,107,4.892,5.017,4.767,0.852,0.897,0.574,0.284,0.078,0.072,2021
Georgia,108,4.891,4.998,4.785,1.03,0.47,0.498,0.488,0.032,0.181,2021
Algeria,109,4.887,4.991,4.783,0.946,0.765,0.552,0.119,0.144,0.12,2021
Ukraine,110,4.875,4.977,4.773,0.979,0.958,0.517,0.417,0.181,0.01,2021
Iraq,111,4.854,4.97,4.738,0.91,0.638,0.381,0.302,0.153,0.041,2021
Gabon,112,4.852,4.998,4.706,1.037,0.707,0.362,0.424,0.058,0.064,2021
Burkina Faso,113,4.834,4.993,4.675,0.364,0.472,0.179,0.381,0.182,0.122,2021
Cambodia,114,4.83,4.963,4.698,0.603,0.68,0.426,0.702,0.21,0.061,2021
Mozambique,115,4.794,4.997,4.592,0.183,0.634,0.196,0.608,0.228,0.163,2021
Nigeria,116,4.759,4.861,4.658,0.663,0.625,0.051,0.433,0.212,0.039,2021
Mali,117,4.723,4.884,4.563,0.387,0.59,0.11,0.384,0.164,0.072,2021
Iran,118,4.721,4.828,4.614,1.03,0.557,0.561,0.275,0.33,0.144,2021
Uganda,119,4.636,4.78,4.493,0.364,0.718,0.24,0.398,0.267,0.054,2021
Liberia,120,4.625,4.833,4.417,0.228,0.58,0.253,0.43,0.221,0.057,2021
Kenya,121,4.607,4.747,4.466,0.603,0.508,0.385,0.483,0.375,0.073,2021
Tunisia,122,4.596,4.709,4.484,0.919,0.515,0.59,0.334,0.057,0.044,2021
Lebanon,123,4.584,4.691,4.477,1.045,0.868,0.595,0.175,0.14,0.026,2021
Namibia,124,4.574,4.7,4.448,0.882,0.801,0.262,0.411,0.091,0.059,2021
Palestinian Territories,125,4.517,4.649,4.384,0.646,0.819,0.434,0.33,0.082,0.075,2021
Myanmar,126,4.426,4.527,4.324,0.666,0.713,0.341,0.601,0.52,0.178,2021
Jordan,127,4.395,4.516,4.273,0.89,0.685,0.583,0.455,0.079,0.15,2021
Chad,128,4.355,4.54,4.171,0.255,0.353,0.0,0.24,0.215,0.084,2021
Sri Lanka,129,4.325,4.454,4.196,0.99,0.82,0.593,0.559,0.239,0.049,2021
Swaziland,130,4.308,4.448,4.168,0.849,0.693,0.074,0.323,0.067,0.147,2021
Comoros,131,4.289,4.454,4.123,0.488,0.367,0.279,0.202,0.241,0.101,2021
Egypt,132,4.283,4.371,4.195,0.954,0.647,0.426,0.446,0.069,0.092,2021
Ethiopia,133,4.275,4.374,4.175,0.37,0.679,0.331,0.451,0.241,0.114,2021
Mauritania,134,4.227,4.365,4.09,0.666,0.749,0.273,0.218,0.119,0.133,2021
Madagascar,135,4.208,4.349,4.068,0.266,0.503,0.341,0.207,0.185,0.087,2021
Togo,136,4.107,4.258,3.956,0.254,0.239,0.203,0.289,0.209,0.107,2021
Zambia,137,4.073,4.209,3.938,0.528,0.552,0.231,0.487,0.227,0.074,2021
Sierra Leone,138,3.849,4.001,3.698,0.279,0.377,0.1,0.408,0.243,0.047,2021
India,139,3.819,3.869,3.769,0.741,0.316,0.383,0.622,0.246,0.106,2021
Burundi,140,3.775,3.985,3.565,0.0,0.062,0.155,0.298,0.172,0.212,2021
Yemen,141,3.658,3.794,3.521,0.329,0.831,0.272,0.268,0.092,0.089,2021
Tanzania,142,3.623,3.762,3.485,0.433,0.54,0.3,0.549,0.307,0.231,2021
Haiti,143,3.615,3.953,3.276,0.294,0.173,0.227,0.257,0.463,0.139,2021
Malawi,144,3.6,3.781,3.419,0.113,0.168,0.298,0.484,0.213,0.134,2021
Lesotho,145,3.512,3.748,3.276,0.451,0.731,0.007,0.405,0.103,0.015,2021
Botswana,146,3.467,3.611,3.322,1.099,0.724,0.34,0.539,0.027,0.088,2021
Rwanda,147,3.415,3.548,3.282,0.364,0.202,0.407,0.627,0.227,0.493,2021
Zimbabwe,148,3.145,3.259,3.03,0.457,0.649,0.243,0.359,0.157,0.075,2021
Afghanistan,149,2.523,2.596,2.449,0.37,0.0,0.126,0.0,0.122,0.01,2021
Finland,1,7.821,7.886,7.756,1.892,1.258,0.775,0.736,0.109,0.534,2022
Denmark,2,7.636,7.71,7.563,1.953,1.243,0.777,0.719,0.188,0.532,2022
Iceland,3,7.557,7.651,7.464,1.936,1.32,0.803,0.718,0.27,0.191,2022
Switzerland,4,7.512,7.586,7.437,2.026,1.226,0.822,0.677,0.147,0.461,2022
Netherlands,5,7.415,7.471,7.359,1.945,1.206,0.787,0.651,0.271,0.419,2022
Luxembourg*,6,7.404,7.501,7.307,2.209,1.155,0.79,0.7,0.12,0.388,2022
Sweden,7,7.384,7.454,7.315,1.92,1.204,0.803,0.724,0.218,0.512,2022
Norway,8,7.365,7.44,7.29,1.997,1.239,0.786,0.728,0.217,0.474,2022
Israel,9,7.364,7.426,7.301,1.826,1.221,0.818,0.568,0.155,0.143,2022
New Zealand,10,7.2,7.279,7.12,1.852,1.235,0.752,0.68,0.245,0.483,2022
Austria,11,7.163,7.237,7.089,1.931,1.165,0.774,0.623,0.193,0.329,2022
Australia,12,7.162,7.244,7.081,1.9,1.203,0.772,0.676,0.258,0.341,2022
Ireland,13,7.041,7.121,6.961,2.129,1.166,0.779,0.627,0.19,0.408,2022
Germany,14,7.034,7.122,6.947,1.924,1.088,0.776,0.585,0.163,0.358,2022
Canada,15,7.025,7.107,6.943,1.886,1.188,0.783,0.659,0.217,0.368,2022
United States,16,6.977,7.065,6.888,1.982,1.182,0.628,0.574,0.22,0.177,2022
United Kingdom,17,6.943,7.018,6.867,1.867,1.143,0.75,0.597,0.289,0.329,2022
Czechia,18,6.92,7.029,6.811,1.815,1.26,0.715,0.66,0.158,0.048,2022
Belgium,19,6.805,6.89,6.72,1.907,1.106,0.764,0.492,0.049,0.204,2022
France,20,6.687,6.758,6.615,1.863,1.219,0.808,0.567,0.07,0.266,2022
Bahrain,21,6.647,6.779,6.514,1.854,1.029,0.625,0.693,0.199,0.155,2022
Slovenia,22,6.63,6.718,6.542,1.81,1.249,0.769,0.685,0.118,0.115,2022
Costa Rica,23,6.582,6.683,6.481,1.584,1.054,0.744,0.661,0.089,0.102,2022
United Arab Emirates,24,6.576,6.66,6.492,1.998,0.98,0.633,0.702,0.204,0.25,2022
Saudi Arabia,25,6.523,6.637,6.409,1.87,1.092,0.577,0.651,0.078,0.18,2022
Taiwan Province of China,26,6.512,6.596,6.429,1.897,1.095,0.733,0.542,0.075,0.168,2022
Singapore,27,6.48,6.569,6.392,2.149,1.127,0.851,0.672,0.163,0.587,2022
Romania,28,6.477,6.575,6.379,1.719,1.006,0.655,0.605,0.039,0.006,2022
Spain,29,6.476,6.56,6.392,1.808,1.211,0.808,0.505,0.101,0.149,2022
Uruguay,30,6.474,6.562,6.386,1.615,1.18,0.672,0.665,0.103,0.265,2022
Italy,31,6.467,6.57,6.363,1.834,1.052,0.801,0.412,0.085,0.059,2022
Kosovo,32,6.455,6.571,6.339,1.362,0.949,0.569,0.599,0.309,0.035,2022
Malta,33,6.447,6.535,6.359,1.838,1.169,0.789,0.679,0.174,0.166,2022
Lithuania,34,6.446,6.535,6.356,1.804,1.204,0.659,0.496,0.053,0.077,2022
Slovakia,35,6.391,6.475,6.306,1.736,1.232,0.707,0.479,0.118,0.025,2022
Estonia,36,6.341,6.415,6.266,1.793,1.232,0.728,0.689,0.123,0.333,2022
Panama,37,6.309,6.464,6.154,1.715,1.107,0.709,0.592,0.049,0.051,2022
Brazil,38,6.293,6.384,6.202,1.462,1.044,0.615,0.546,0.131,0.134,2022
Guatemala*,39,6.262,6.46,6.064,1.274,0.831,0.522,0.662,0.112,0.115,2022
Kazakhstan,40,6.234,6.33,6.138,1.668,1.22,0.611,0.584,0.134,0.157,2022
Cyprus,41,6.221,6.32,6.122,1.815,0.909,0.819,0.448,0.123,0.062,2022
Latvia,42,6.18,6.255,6.106,1.732,1.221,0.637,0.502,0.075,0.09,2022
Serbia,43,6.178,6.294,6.062,1.55,1.086,0.658,0.546,0.219,0.088,2022
Chile,44,6.172,6.262,6.082,1.651,1.08,0.748,0.46,0.124,0.069,2022
Nicaragua,45,6.165,6.312,6.017,1.105,1.029,0.617,0.617,0.168,0.212,2022
Mexico,46,6.128,6.238,6.017,1.552,0.886,0.623,0.621,0.092,0.115,2022
Croatia,47,6.125,6.229,6.022,1.705,1.183,0.709,0.535,0.109,0.0,2022
Poland,48,6.123,6.205,6.04,1.758,1.174,0.712,0.523,0.124,0.14,2022
El Salvador,49,6.12,6.25,5.99,1.265,0.768,0.607,0.666,0.089,0.212,2022
Kuwait*,50,6.106,6.235,5.977,1.904,0.983,0.747,0.617,0.087,0.147,2022
Hungary,51,6.086,6.187,5.985,1.748,1.233,0.668,0.485,0.078,0.064,2022
Mauritius,52,6.071,6.184,5.958,1.591,1.116,0.568,0.589,0.131,0.107,2022
Uzbekistan,53,6.063,6.178,5.948,1.219,1.092,0.6,0.716,0.283,0.24,2022
Japan,54,6.039,6.119,5.959,1.835,1.089,0.866,0.537,0.007,0.218,2022
Honduras,55,6.022,6.189,5.855,1.111,0.885,0.555,0.582,0.202,0.076,2022
Portugal,56,6.016,6.122,5.911,1.76,1.078,0.777,0.655,0.016,0.039,2022
Argentina,57,5.967,6.09,5.844,1.592,1.102,0.662,0.555,0.081,0.085,2022
Greece,58,5.948,6.043,5.853,1.703,0.98,0.774,0.249,0.015,0.108,2022
South Korea,59,5.935,6.021,5.849,1.851,0.886,0.841,0.414,0.111,0.176,2022
Philippines,60,5.904,6.007,5.8,1.268,0.912,0.514,0.678,0.107,0.142,2022
Thailand,61,5.891,5.994,5.788,1.535,1.096,0.697,0.617,0.321,0.026,2022
Moldova,62,5.857,5.948,5.766,1.417,1.008,0.597,0.561,0.102,0.028,2022
Jamaica,63,5.85,6.023,5.676,1.296,1.045,0.646,0.567,0.08,0.053,2022
Kyrgyzstan,64,5.828,5.916,5.741,1.069,1.109,0.638,0.693,0.208,0.025,2022
Belarus*,65,5.821,5.95,5.693,1.562,1.157,0.629,0.342,0.04,0.282,2022
Colombia,66,5.781,5.903,5.659,1.452,0.929,0.72,0.545,0.087,0.077,2022
Bosnia and Herzegovina,67,5.768,5.877,5.659,1.468,1.068,0.665,0.448,0.244,0.006,2022
Mongolia,68,5.761,5.845,5.676,1.393,1.197,0.467,0.398,0.247,0.059,2022
Dominican Republic,69,5.737,5.873,5.601,1.538,1.003,0.577,0.606,0.084,0.179,2022
Malaysia,70,5.711,5.845,5.578,1.689,0.938,0.62,0.654,0.213,0.126,2022
Bolivia,71,5.6,5.709,5.491,1.256,0.88,0.555,0.627,0.112,0.064,2022
China,72,5.585,5.65,5.52,1.508,0.958,0.705,0.656,0.099,0.142,2022
Paraguay,73,5.578,5.689,5.467,1.409,1.13,0.624,0.629,0.171,0.059,2022
Peru,74,5.559,5.679,5.439,1.397,0.865,0.735,0.545,0.09,0.037,2022
Montenegro,75,5.547,5.681,5.413,1.573,1.023,0.659,0.46,0.135,0.077,2022
Ecuador,76,5.533,5.653,5.414,1.352,0.879,0.708,0.565,0.08,0.083,2022
Vietnam,77,5.485,5.57,5.4,1.252,0.932,0.611,0.707,0.143,0.105,2022
Turkmenistan*,78,5.474,5.578,5.371,1.484,1.319,0.516,0.649,0.314,0.032,2022
North Cyprus*,79,5.467,5.609,5.325,1.815,0.888,0.819,0.523,0.13,0.213,2022
Russia,80,5.459,5.525,5.392,1.685,1.095,0.586,0.401,0.117,0.08,2022
Hong Kong S.A.R. of China,81,5.425,5.501,5.348,1.957,0.954,0.942,0.4,0.147,0.383,2022
Armenia,82,5.399,5.519,5.278,1.434,0.82,0.668,0.558,0.054,0.21,2022
Tajikistan,83,5.377,5.468,5.287,0.966,1.005,0.518,0.572,0.118,0.304,2022
Nepal,84,5.377,5.502,5.251,0.984,0.784,0.499,0.519,0.237,0.13,2022
Bulgaria,85,5.371,5.485,5.257,1.625,1.163,0.64,0.563,0.123,0.021,2022
Libya*,86,5.33,5.543,5.118,1.476,0.943,0.606,0.477,0.106,0.179,2022
Indonesia,87,5.24,5.341,5.139,1.382,0.883,0.539,0.62,0.468,0.047,2022
Ivory Coast,88,5.235,5.384,5.085,1.094,0.442,0.322,0.451,0.149,0.124,2022
North Macedonia,89,5.199,5.303,5.095,1.505,0.863,0.637,0.488,0.215,0.031,2022
Albania,90,5.199,5.321,5.076,1.439,0.646,0.719,0.511,0.138,0.028,2022
South Africa,91,5.194,5.315,5.073,1.425,1.088,0.361,0.442,0.089,0.046,2022
Azerbaijan*,92,5.173,5.265,5.082,1.458,1.093,0.56,0.601,0.023,0.341,2022
Gambia*,93,5.164,5.409,4.918,0.785,0.621,0.369,0.367,0.388,0.103,2022
Bangladesh,94,5.155,5.262,5.049,1.06,0.614,0.581,0.622,0.125,0.187,2022
Laos,95,5.14,5.263,5.018,1.239,0.654,0.479,0.679,0.197,0.184,2022
Algeria,96,5.122,5.215,5.03,1.363,0.97,0.643,0.146,0.106,0.15,2022
Liberia*,97,5.122,5.428,4.815,0.636,0.67,0.309,0.405,0.178,0.08,2022
Ukraine,98,5.084,5.19,4.978,1.411,1.081,0.583,0.473,0.188,0.017,2022
Congo,99,5.075,5.235,4.915,0.95,0.405,0.355,0.431,0.13,0.146,2022
Morocco,100,5.06,5.181,4.938,1.208,0.268,0.565,0.492,0.02,0.102,2022
Mozambique,101,5.048,5.273,4.823,0.578,0.66,0.191,0.593,0.185,0.2,2022
Cameroon,102,5.048,5.188,4.907,0.968,0.672,0.317,0.397,0.152,0.074,2022
Senegal,103,5.046,5.171,4.921,0.933,0.53,0.447,0.494,0.143,0.081,2022
Niger*,104,5.003,5.247,4.76,0.57,0.56,0.326,0.571,0.165,0.145,2022
Georgia,105,4.973,5.079,4.867,1.467,0.612,0.595,0.508,0.0,0.208,2022
Gabon,106,4.958,5.091,4.826,1.459,0.738,0.396,0.343,0.032,0.099,2022
Iraq,107,4.941,5.099,4.783,1.289,0.682,0.554,0.328,0.147,0.046,2022
Venezuela,108,4.925,5.051,4.8,0.0,0.968,0.578,0.283,0.225,0.082,2022
Guinea,109,4.891,5.028,4.753,0.848,0.566,0.275,0.334,0.214,0.116,2022
Iran,110,4.888,4.995,4.78,1.41,0.741,0.642,0.281,0.241,0.146,2022
Ghana,111,4.872,4.999,4.745,1.112,0.595,0.409,0.5,0.23,0.056,2022
Turkey,112,4.744,4.845,4.644,1.707,0.865,0.702,0.209,0.087,0.115,2022
Burkina Faso,113,4.67,4.814,4.527,0.779,0.565,0.32,0.382,0.186,0.126,2022
Cambodia,114,4.64,4.765,4.516,1.019,0.732,0.505,0.74,0.166,0.068,2022
Benin,115,4.623,4.754,4.492,0.932,0.064,0.335,0.479,0.127,0.23,2022
Comoros*,116,4.609,4.849,4.368,0.899,0.476,0.424,0.185,0.195,0.125,2022
Uganda,117,4.603,4.747,4.459,0.777,0.875,0.418,0.402,0.222,0.066,2022
Nigeria,118,4.552,4.651,4.453,1.079,0.732,0.3,0.444,0.175,0.038,2022
Kenya,119,4.543,4.683,4.403,1.032,0.605,0.401,0.44,0.322,0.082,2022
Tunisia,120,4.516,4.629,4.403,1.35,0.596,0.656,0.316,0.029,0.029,2022
Pakistan,121,4.516,4.634,4.397,1.049,0.413,0.374,0.448,0.181,0.112,2022
Palestinian Territories*,122,4.483,4.665,4.3,1.148,0.957,0.521,0.336,0.073,0.079,2022
Mali,123,4.479,4.611,4.347,0.792,0.483,0.311,0.35,0.128,0.042,2022
Namibia,124,4.459,4.593,4.326,1.292,0.877,0.354,0.384,0.067,0.071,2022
"Eswatini, Kingdom of*",125,4.396,4.607,4.185,1.274,0.786,0.197,0.259,0.038,0.154,2022
Myanmar,126,4.394,4.511,4.277,1.038,0.829,0.491,0.513,0.452,0.194,2022
Sri Lanka,127,4.362,4.487,4.237,1.415,0.934,0.66,0.529,0.15,0.079,2022
Madagascar*,128,4.339,4.53,4.148,0.67,0.645,0.378,0.202,0.143,0.154,2022
Egypt,129,4.288,4.377,4.198,1.388,0.732,0.548,0.469,0.041,0.254,2022
Chad*,130,4.251,4.503,3.999,0.662,0.506,0.225,0.18,0.182,0.077,2022
Ethiopia,131,4.241,4.365,4.118,0.788,0.809,0.457,0.472,0.205,0.136,2022
Yemen*,132,4.197,4.384,4.01,0.691,1.043,0.384,0.33,0.09,0.098,2022
Mauritania*,133,4.153,4.356,3.95,1.1,0.865,0.45,0.304,0.088,0.138,2022
Jordan,134,4.152,4.276,4.029,1.324,0.724,0.675,0.476,0.058,0.2,2022
Togo,135,4.112,4.272,3.953,0.771,0.322,0.36,0.292,0.174,0.132,2022
India,136,3.777,3.828,3.726,1.167,0.376,0.471,0.647,0.198,0.123,2022
Zambia,137,3.76,3.902,3.618,0.93,0.577,0.306,0.525,0.203,0.083,2022
Malawi,138,3.75,3.941,3.56,0.648,0.279,0.388,0.477,0.14,0.157,2022
Tanzania,139,3.702,3.847,3.558,0.848,0.597,0.425,0.578,0.248,0.27,2022
Sierra Leone,140,3.574,3.732,3.416,0.686,0.416,0.273,0.387,0.202,0.055,2022
Lesotho*,141,3.512,3.748,3.276,0.839,0.848,0.0,0.419,0.076,0.018,2022
Botswana*,142,3.471,3.667,3.275,1.503,0.815,0.28,0.571,0.012,0.102,2022
Rwanda*,143,3.268,3.462,3.074,0.785,0.133,0.462,0.621,0.187,0.544,2022
Zimbabwe,144,2.995,3.11,2.88,0.947,0.69,0.27,0.329,0.106,0.105,2022
Lebanon,145,2.955,3.049,2.862,1.392,0.498,0.631,0.103,0.082,0.034,2022
Afghanistan,146,2.404,2.469,2.339,0.758,0.0,0.289,0.0,0.089,0.005,2022
Finland,1,7.804,7.875,7.733,1.888,1.585,0.535,0.772,0.126,0.535,2023
Denmark,2,7.586,7.667,7.506,1.949,1.548,0.537,0.734,0.208,0.525,2023
Iceland,3,7.53,7.625,7.434,1.926,1.62,0.559,0.738,0.25,0.187,2023
Israel,4,7.473,7.535,7.411,1.833,1.521,0.577,0.569,0.124,0.158,2023
Netherlands,5,7.403,7.46,7.346,1.942,1.488,0.545,0.672,0.251,0.394,2023
Sweden,6,7.395,7.468,7.322,1.921,1.51,0.562,0.754,0.225,0.52,2023
Norway,7,7.315,7.402,7.229,1.994,1.521,0.544,0.752,0.212,0.463,2023
Switzerland,8,7.24,7.324,7.156,2.022,1.463,0.582,0.678,0.151,0.475,2023
Luxembourg,9,7.228,7.363,7.093,2.2,1.357,0.549,0.71,0.149,0.418,2023
New Zealand,10,7.123,7.198,7.048,1.842,1.544,0.513,0.672,0.23,0.471,2023
Austria,11,7.097,7.176,7.018,1.927,1.382,0.535,0.63,0.191,0.31,2023
Australia,12,7.095,7.18,7.009,1.899,1.497,0.532,0.677,0.242,0.31,2023
Canada,13,6.961,7.042,6.879,1.881,1.484,0.541,0.656,0.218,0.364,2023
Ireland,14,6.911,6.996,6.825,2.152,1.425,0.539,0.656,0.186,0.409,2023
United States,15,6.894,6.986,6.802,1.98,1.46,0.39,0.557,0.21,0.172,2023
Germany,16,6.892,6.989,6.795,1.919,1.401,0.539,0.618,0.153,0.365,2023
Belgium,17,6.859,6.926,6.793,1.907,1.449,0.528,0.59,0.137,0.273,2023
Czechia,18,6.845,6.931,6.759,1.823,1.544,0.477,0.693,0.158,0.05,2023
United Kingdom,19,6.796,6.877,6.714,1.857,1.366,0.511,0.626,0.272,0.34,2023
Lithuania,20,6.763,6.849,6.677,1.808,1.511,0.432,0.487,0.059,0.089,2023
France,21,6.661,6.735,6.588,1.856,1.433,0.566,0.582,0.083,0.27,2023
Slovenia,22,6.65,6.75,6.55,1.815,1.539,0.532,0.707,0.144,0.113,2023
Costa Rica,23,6.609,6.71,6.507,1.587,1.34,0.503,0.683,0.099,0.116,2023
Romania,24,6.589,6.69,6.488,1.726,1.28,0.423,0.631,0.044,0.0,2023
Singapore,25,6.587,6.72,6.454,2.168,1.354,0.607,0.66,0.17,0.561,2023
United Arab Emirates,26,6.571,6.656,6.486,2.015,1.223,0.401,0.745,0.188,0.247,2023
Taiwan Province of China,27,6.535,6.627,6.444,1.89,1.372,0.492,0.562,0.067,0.178,2023
Uruguay,28,6.494,6.583,6.404,1.617,1.445,0.435,0.683,0.102,0.254,2023
Slovakia,29,6.469,6.578,6.36,1.731,1.544,0.472,0.494,0.128,0.022,2023
Saudi Arabia,30,6.463,6.581,6.344,1.861,1.37,0.351,0.682,0.093,0.17,2023
Estonia,31,6.455,6.534,6.377,1.798,1.526,0.494,0.728,0.153,0.372,2023
Spain,32,6.436,6.519,6.354,1.798,1.491,0.567,0.533,0.101,0.157,2023
Italy,33,6.405,6.511,6.298,1.832,1.365,0.559,0.438,0.097,0.063,2023
Kosovo,34,6.368,6.485,6.25,1.374,1.269,0.372,0.639,0.275,0.045,2023
Chile,35,6.334,6.424,6.243,1.645,1.384,0.511,0.546,0.131,0.076,2023
Mexico,36,6.33,6.441,6.218,1.55,1.169,0.389,0.632,0.086,0.115,2023
Malta,37,6.3,6.388,6.212,1.841,1.468,0.547,0.671,0.2,0.143,2023
Panama,38,6.265,6.424,6.105,1.714,1.402,0.475,0.63,0.065,0.036,2023
Poland,39,6.26,6.343,6.177,1.767,1.474,0.477,0.511,0.12,0.139,2023
Nicaragua,40,6.259,6.408,6.109,1.109,1.292,0.385,0.66,0.148,0.218,2023
Latvia,41,6.213,6.295,6.131,1.737,1.505,0.405,0.58,0.107,0.071,2023
Bahrain,42,6.173,6.369,5.977,1.883,1.269,0.389,0.748,0.199,0.138,2023
Guatemala,43,6.15,6.362,5.939,1.287,1.188,0.31,0.631,0.106,0.066,2023
Kazakhstan,44,6.144,6.239,6.049,1.664,1.491,0.389,0.628,0.136,0.149,2023
Serbia,45,6.144,6.299,5.988,1.552,1.343,0.424,0.617,0.246,0.081,2023
