Country name,Happiness Rank,Happiness score,Upperwhisker,Lowerwhisker,Economy (GDP per Capita)	,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
Cyprus,46,6.13,6.236,6.024,1.824,1.224,0.58,0.455,0.104,0.05,2023
Japan,47,6.129,6.211,6.047,1.825,1.396,0.622,0.556,0.009,0.207,2023
Croatia,48,6.125,6.237,6.013,1.727,1.455,0.475,0.5,0.087,0.003,2023
Brazil,49,6.125,6.252,5.997,1.454,1.25,0.387,0.558,0.131,0.137,2023
El Salvador,50,6.122,6.257,5.986,1.278,1.044,0.383,0.713,0.079,0.222,2023
Hungary,51,6.041,6.149,5.933,1.754,1.519,0.435,0.501,0.105,0.065,2023
Argentina,52,6.024,6.147,5.9,1.59,1.388,0.427,0.587,0.088,0.082,2023
Honduras,53,6.023,6.196,5.849,1.115,1.072,0.341,0.613,0.189,0.062,2023
Uzbekistan,54,6.014,6.13,5.899,1.227,1.347,0.375,0.74,0.26,0.208,2023
Malaysia,55,6.012,6.167,5.858,1.665,1.155,0.385,0.659,0.222,0.122,2023
Portugal,56,5.968,6.076,5.86,1.758,1.356,0.537,0.693,0.031,0.037,2023
South Korea,57,5.951,6.04,5.862,1.853,1.188,0.603,0.446,0.112,0.163,2023
Greece,58,5.931,6.024,5.838,1.708,1.247,0.535,0.248,0.008,0.097,2023
Mauritius,59,5.902,6.013,5.791,1.589,1.382,0.336,0.574,0.121,0.11,2023
Thailand,60,5.843,5.969,5.717,1.515,1.344,0.461,0.624,0.291,0.013,2023
Mongolia,61,5.84,5.93,5.75,1.379,1.494,0.244,0.425,0.239,0.058,2023
Kyrgyzstan,62,5.825,5.913,5.737,1.061,1.439,0.417,0.735,0.234,0.018,2023
Moldova,63,5.819,5.922,5.717,1.425,1.302,0.375,0.61,0.093,0.02,2023
China,64,5.818,5.905,5.731,1.51,1.249,0.468,0.666,0.115,0.145,2023
Vietnam,65,5.763,5.865,5.662,1.349,1.212,0.381,0.741,0.134,0.122,2023
Paraguay,66,5.738,5.851,5.625,1.428,1.427,0.392,0.678,0.148,0.062,2023
Montenegro,67,5.722,5.941,5.503,1.537,1.385,0.424,0.563,0.17,0.061,2023
Jamaica,68,5.703,5.876,5.529,1.305,1.329,0.411,0.587,0.079,0.039,2023
Bolivia,69,5.684,5.797,5.572,1.24,1.187,0.329,0.648,0.103,0.06,2023
Russia,70,5.661,5.734,5.588,1.68,1.383,0.366,0.449,0.12,0.091,2023
Bosnia and Herzegovina,71,5.633,5.775,5.49,1.467,1.361,0.429,0.485,0.247,0.008,2023
Colombia,72,5.63,5.747,5.514,1.455,1.213,0.486,0.562,0.08,0.068,2023
Dominican Republic,73,5.569,5.712,5.426,1.536,1.227,0.351,0.623,0.083,0.195,2023
Ecuador,74,5.559,5.682,5.436,1.343,1.173,0.476,0.56,0.079,0.069,2023
Peru,75,5.526,5.64,5.412,1.39,1.153,0.499,0.549,0.073,0.027,2023
Philippines,76,5.523,5.675,5.371,1.238,1.108,0.286,0.714,0.104,0.141,2023
Bulgaria,77,5.466,5.582,5.35,1.635,1.457,0.408,0.557,0.106,0.013,2023
Nepal,78,5.36,5.507,5.214,0.979,1.027,0.281,0.567,0.215,0.104,2023
Armenia,79,5.342,5.47,5.213,1.466,1.134,0.443,0.551,0.053,0.16,2023
Tajikistan,80,5.33,5.452,5.207,0.972,1.248,0.291,0.599,0.104,0.292,2023
Algeria,81,5.329,5.451,5.207,1.353,1.298,0.409,0.252,0.073,0.152,2023
Hong Kong S.A.R. of China,82,5.308,5.403,5.214,1.951,1.201,0.702,0.407,0.123,0.39,2023
Albania,83,5.277,5.406,5.148,1.449,0.951,0.48,0.549,0.133,0.037,2023
Indonesia,84,5.277,5.392,5.161,1.384,1.169,0.314,0.663,0.422,0.038,2023
South Africa,85,5.275,5.417,5.132,1.417,1.428,0.149,0.464,0.09,0.019,2023
Congo (Brazzaville),86,5.267,5.44,5.094,0.921,0.665,0.145,0.464,0.134,0.136,2023
North Macedonia,87,5.254,5.361,5.146,1.498,1.171,0.408,0.515,0.207,0.02,2023
Venezuela,88,5.211,5.336,5.085,0.0,1.257,0.341,0.369,0.205,0.084,2023
Laos,89,5.111,5.269,4.952,1.232,0.853,0.257,0.715,0.185,0.162,2023
Georgia,90,5.109,5.219,5.0,1.477,0.947,0.366,0.539,0.0,0.201,2023
Guinea,91,5.072,5.213,4.931,0.844,0.776,0.072,0.369,0.204,0.102,2023
Ukraine,92,5.071,5.187,4.956,1.358,1.354,0.355,0.551,0.265,0.016,2023
Ivory Coast,93,5.053,5.198,4.907,1.094,0.584,0.12,0.467,0.138,0.131,2023
Gabon,94,5.035,5.175,4.894,1.438,1.021,0.183,0.346,0.036,0.102,2023
Nigeria,95,4.981,5.136,4.825,1.065,1.007,0.092,0.448,0.176,0.013,2023
Cameroon,96,4.973,5.112,4.834,0.965,0.871,0.118,0.405,0.144,0.059,2023
Mozambique,97,4.954,5.181,4.727,0.57,0.885,0.0,0.625,0.161,0.192,2023
Iraq,98,4.941,5.099,4.783,1.281,0.953,0.324,0.351,0.134,0.038,2023
State of Palestine,99,4.908,5.089,4.727,1.144,1.309,0.5412279005524862,0.416,0.065,0.067,2023
Morocco,100,4.903,5.023,4.783,1.236,0.535,0.337,0.54,0.013,0.085,2023
Iran,101,4.876,4.98,4.772,1.465,1.102,0.411,0.281,0.229,0.13,2023
Senegal,102,4.855,4.983,4.727,0.943,0.727,0.231,0.519,0.142,0.06,2023
Mauritania,103,4.724,5.011,4.437,1.099,0.764,0.244,0.32,0.13,0.195,2023
Burkina Faso,104,4.638,4.819,4.456,0.768,0.814,0.107,0.419,0.188,0.113,2023
Namibia,105,4.631,4.766,4.496,1.289,1.126,0.145,0.383,0.069,0.071,2023
Turkiye,106,4.614,4.777,4.45,1.714,1.148,0.467,0.125,0.095,0.096,2023
Ghana,107,4.605,4.729,4.481,1.101,0.756,0.197,0.526,0.211,0.035,2023
Pakistan,108,4.555,4.707,4.404,1.081,0.657,0.158,0.511,0.141,0.102,2023
Niger,109,4.501,4.712,4.291,0.561,0.628,0.137,0.54,0.154,0.14,2023
Tunisia,110,4.497,4.601,4.393,1.333,0.981,0.422,0.259,0.022,0.016,2023
Kenya,111,4.487,4.616,4.357,1.051,0.881,0.19,0.418,0.291,0.055,2023
Sri Lanka,112,4.442,4.603,4.28,1.422,1.224,0.426,0.539,0.12,0.086,2023
Uganda,113,4.432,4.607,4.258,0.785,1.144,0.201,0.425,0.197,0.051,2023
Chad,114,4.397,4.633,4.16,0.622,0.962,0.043,0.393,0.255,0.088,2023
Cambodia,115,4.393,4.508,4.279,1.025,1.024,0.283,0.768,0.176,0.051,2023
Benin,116,4.374,4.504,4.244,0.924,0.242,0.124,0.481,0.114,0.253,2023
Myanmar,117,4.372,4.533,4.212,1.032,1.125,0.269,0.46,0.4,0.194,2023
Bangladesh,118,4.282,4.416,4.148,1.133,0.513,0.355,0.617,0.139,0.165,2023
Gambia,119,4.279,4.484,4.075,0.761,0.614,0.174,0.286,0.332,0.033,2023
Mali,120,4.198,4.319,4.076,0.763,0.637,0.106,0.441,0.121,0.059,2023
Egypt,121,4.17,4.287,4.054,1.377,0.972,0.326,0.467,0.038,0.25,2023
Togo,122,4.137,4.289,3.986,0.77,0.642,0.161,0.367,0.149,0.136,2023
Jordan,123,4.12,4.242,3.997,1.292,0.98,0.438,0.517,0.056,0.173,2023
Ethiopia,124,4.091,4.273,3.908,0.793,1.114,0.25,0.451,0.283,0.101,2023
Liberia,125,4.042,4.325,3.76,0.628,0.644,0.141,0.471,0.219,0.071,2023
India,126,4.036,4.092,3.98,1.159,0.674,0.252,0.685,0.175,0.111,2023
Madagascar,127,4.019,4.199,3.839,0.632,0.779,0.178,0.187,0.177,0.134,2023
Zambia,128,3.982,4.167,3.797,0.914,0.89,0.095,0.545,0.189,0.08,2023
Tanzania,129,3.694,3.84,3.547,0.836,0.787,0.214,0.607,0.234,0.269,2023
Comoros,130,3.545,3.774,3.317,0.914,0.327,0.215,0.117,0.129,0.145,2023
Malawi,131,3.495,3.671,3.32,0.637,0.479,0.189,0.49,0.139,0.129,2023
Botswana,132,3.435,3.702,3.168,1.471,1.041,0.087,0.48,0.021,0.071,2023
Congo (Kinshasa),133,3.207,3.394,3.02,0.531,0.784,0.105,0.375,0.183,0.068,2023
Zimbabwe,134,3.204,3.323,3.084,0.758,0.881,0.069,0.363,0.112,0.117,2023
Sierra Leone,135,3.138,3.299,2.976,0.67,0.54,0.092,0.371,0.193,0.051,2023
Lebanon,136,2.392,2.479,2.305,1.417,0.476,0.398,0.123,0.061,0.027,2023
Afghanistan,137,1.859,1.923,1.795,0.645,0.0,0.087,0.0,0.093,0.059,2023
Finland,1,7.741,7.815,7.667,1.844,1.572,0.695,0.859,0.142,0.546,2024
Denmark,2,7.583,7.665,7.5,1.908,1.52,0.699,0.823,0.204,0.548,2024
Iceland,3,7.525,7.618,7.433,1.881,1.617,0.718,0.819,0.258,0.182,2024
Sweden,4,7.344,7.422,7.267,1.878,1.501,0.724,0.838,0.221,0.524,2024
Israel,5,7.341,7.405,7.277,1.803,1.513,0.74,0.641,0.153,0.193,2024
Netherlands,6,7.319,7.383,7.256,1.901,1.462,0.706,0.725,0.247,0.372,2024
Norway,7,7.302,7.389,7.215,1.952,1.517,0.704,0.835,0.224,0.484,2024
Luxembourg,8,7.122,7.213,7.031,2.141,1.355,0.708,0.801,0.146,0.432,2024
Switzerland,9,7.06,7.147,6.973,1.97,1.425,0.747,0.759,0.173,0.498,2024
Australia,10,7.057,7.141,6.973,1.854,1.461,0.692,0.756,0.225,0.323,2024
New Zealand,11,7.029,7.105,6.954,1.81,1.527,0.673,0.746,0.226,0.48,2024
Costa Rica,12,6.955,7.051,6.86,1.561,1.373,0.661,0.797,0.109,0.123,2024
Kuwait,13,6.951,7.06,6.843,1.845,1.364,0.661,0.827,0.2,0.172,2024
Austria,14,6.905,6.986,6.824,1.885,1.336,0.696,0.703,0.214,0.305,2024
Canada,15,6.9,6.984,6.815,1.84,1.459,0.701,0.73,0.23,0.368,2024
Belgium,16,6.894,6.961,6.827,1.868,1.44,0.69,0.729,0.17,0.311,2024
Ireland,17,6.838,6.927,6.749,2.129,1.39,0.7,0.758,0.205,0.418,2024
Czechia,18,6.822,6.903,6.741,1.783,1.511,0.638,0.787,0.177,0.068,2024
Lithuania,19,6.818,6.896,6.739,1.766,1.454,0.598,0.533,0.044,0.116,2024
United Kingdom,20,6.749,6.833,6.665,1.822,1.326,0.672,0.713,0.267,0.351,2024
Slovenia,21,6.743,6.843,6.643,1.786,1.502,0.695,0.789,0.157,0.131,2024
United Arab Emirates,22,6.733,6.823,6.643,1.983,1.164,0.563,0.815,0.209,0.258,2024
United States,23,6.725,6.818,6.631,1.939,1.392,0.542,0.586,0.223,0.169,2024
Germany,24,6.719,6.815,6.622,1.871,1.39,0.702,0.7,0.174,0.368,2024
Mexico,25,6.678,6.781,6.575,1.521,1.241,0.544,0.722,0.086,0.127,2024
Uruguay,26,6.611,6.696,6.527,1.596,1.431,0.592,0.775,0.106,0.22,2024
France,27,6.609,6.685,6.533,1.818,1.348,0.727,0.65,0.112,0.281,2024
Saudi Arabia,28,6.594,6.707,6.48,1.842,1.361,0.511,0.787,0.114,0.188,2024
Kosovo,29,6.561,6.667,6.455,1.364,1.277,0.599,0.739,0.254,0.073,2024
Singapore,30,6.523,6.605,6.44,2.118,1.361,0.769,0.743,0.168,0.575,2024
Taiwan Province of China,31,6.503,6.597,6.41,1.842,1.346,0.65,0.649,0.068,0.202,2024
Romania,32,6.491,6.592,6.39,1.699,1.236,0.583,0.717,0.041,0.006,2024
El Salvador,33,6.469,6.599,6.338,1.265,1.08,0.549,0.816,0.083,0.253,2024
Estonia,34,6.448,6.524,6.371,1.752,1.527,0.657,0.805,0.166,0.401,2024
Poland,35,6.442,6.513,6.37,1.738,1.417,0.639,0.6,0.081,0.175,2024
Spain,36,6.421,6.502,6.339,1.766,1.471,0.729,0.619,0.119,0.177,2024
Serbia,37,6.411,6.522,6.3,1.538,1.391,0.585,0.663,0.2,0.101,2024
Chile,38,6.36,6.448,6.273,1.616,1.369,0.673,0.651,0.117,0.075,2024
Panama,39,6.358,6.489,6.227,1.702,1.392,0.633,0.72,0.063,0.043,2024
Malta,40,6.346,6.43,6.261,1.827,1.444,0.707,0.727,0.25,0.125,2024
Italy,41,6.324,6.436,6.211,1.8,1.328,0.72,0.513,0.112,0.074,2024
Guatemala,42,6.287,6.457,6.117,1.26,1.169,0.467,0.735,0.105,0.078,2024
Nicaragua,43,6.284,6.433,6.135,1.097,1.263,0.542,0.793,0.133,0.251,2024
Brazil,44,6.272,6.39,6.154,1.43,1.269,0.548,0.685,0.13,0.142,2024
Slovakia,45,6.257,6.332,6.182,1.706,1.54,0.638,0.566,0.096,0.058,2024
Latvia,46,6.234,6.314,6.155,1.7,1.508,0.564,0.666,0.127,0.078,2024
Uzbekistan,47,6.195,6.303,6.087,1.212,1.394,0.539,0.835,0.251,0.215,2024
Argentina,48,6.188,6.306,6.07,1.562,1.381,0.585,0.681,0.087,0.08,2024
Kazakhstan,49,6.188,6.278,6.097,1.622,1.457,0.556,0.733,0.149,0.12,2024
Cyprus,50,6.068,6.182,5.954,1.794,1.217,0.744,0.529,0.124,0.049,2024
Japan,51,6.06,6.144,5.976,1.786,1.354,0.785,0.632,0.023,0.219,2024
South Korea,52,6.058,6.148,5.968,1.815,1.178,0.77,0.555,0.126,0.158,2024
Philippines,53,6.048,6.166,5.929,1.232,1.146,0.441,0.826,0.099,0.136,2024
Vietnam,54,6.043,6.138,5.948,1.331,1.267,0.539,0.843,0.094,0.16,2024
Portugal,55,6.03,6.134,5.925,1.728,1.368,0.699,0.757,0.047,0.035,2024
Hungary,56,6.017,6.124,5.91,1.722,1.528,0.596,0.581,0.123,0.067,2024
Paraguay,57,5.977,6.085,5.868,1.398,1.408,0.549,0.788,0.131,0.065,2024
Thailand,58,5.976,6.094,5.858,1.484,1.347,0.62,0.756,0.283,0.024,2024
Malaysia,59,5.975,6.078,5.872,1.646,1.143,0.54,0.829,0.226,0.119,2024
China,60,5.973,6.061,5.885,1.497,1.239,0.629,0.704,0.132,0.164,2024
Honduras,61,5.968,6.114,5.822,1.091,1.035,0.502,0.72,0.175,0.081,2024
Bahrain,62,5.959,6.153,5.766,1.2003475862068964,1.0267958620689654,0.5412279005524862,0.5263586206896552,0.1625724137931034,0.1438331034482758,2024
Croatia,63,5.942,6.047,5.837,1.71,1.445,0.637,0.469,0.064,0.043,2024
Greece,64,5.934,6.027,5.84,1.684,1.276,0.696,0.337,0.018,0.093,2024
Bosnia and Herzegovina,65,5.877,5.979,5.775,1.465,1.318,0.587,0.621,0.246,0.0,2024
Libya,66,5.866,5.987,5.746,1.526,1.1,0.55,0.592,0.111,0.204,2024
Jamaica,67,5.842,6.059,5.624,1.28,1.324,0.567,0.647,0.089,0.028,2024
Peru,68,5.841,5.946,5.736,1.371,1.18,0.662,0.615,0.078,0.029,2024
Dominican Republic,69,5.823,5.967,5.679,1.517,1.272,0.511,0.73,0.086,0.196,2024
Mauritius,70,5.816,5.927,5.706,1.57,1.358,0.49,0.641,0.123,0.118,2024
Moldova,71,5.816,5.93,5.702,1.385,1.277,0.542,0.695,0.077,0.044,2024
Russia,72,5.785,5.859,5.712,1.642,1.351,0.531,0.551,0.138,0.121,2024
Bolivia,73,5.784,5.895,5.674,1.217,1.179,0.488,0.719,0.1,0.061,2024
Ecuador,74,5.725,5.85,5.599,1.315,1.151,0.64,0.606,0.087,0.078,2024
Kyrgyzstan,75,5.714,5.795,5.632,1.054,1.477,0.588,0.834,0.225,0.03,2024
Montenegro,76,5.707,5.815,5.599,1.571,1.318,0.587,0.632,0.11,0.132,2024
Mongolia,77,5.696,5.783,5.61,1.353,1.511,0.4,0.501,0.237,0.055,2024
Colombia,78,5.695,5.806,5.584,1.437,1.241,0.648,0.644,0.072,0.059,2024
Venezuela,79,5.607,5.725,5.489,0.0,1.321,0.491,0.518,0.192,0.086,2024
Indonesia,80,5.568,5.67,5.466,1.361,1.184,0.472,0.779,0.399,0.055,2024
Bulgaria,81,5.463,5.569,5.357,1.629,1.469,0.567,0.62,0.083,0.006,2024
Armenia,82,5.455,5.56,5.35,1.444,1.154,0.603,0.65,0.051,0.173,2024
South Africa,83,5.422,5.549,5.295,1.389,1.369,0.322,0.537,0.078,0.034,2024
North Macedonia,84,5.369,5.468,5.27,1.475,1.277,0.569,0.58,0.194,0.015,2024
Algeria,85,5.364,5.476,5.251,1.324,1.191,0.568,0.247,0.091,0.2,2024
Hong Kong S.A.R. of China,86,5.316,5.403,5.229,1.909,1.184,0.857,0.485,0.147,0.402,2024
Albania,87,5.304,5.44,5.168,1.438,0.924,0.638,0.69,0.138,0.049,2024
Tajikistan,88,5.281,5.361,5.201,1.2003475862068964,1.0267958620689654,0.5412279005524862,0.5263586206896552,0.1625724137931034,0.1438331034482758,2024
Congo (Brazzaville),89,5.221,5.396,5.047,0.892,0.622,0.306,0.523,0.124,0.138,2024
Mozambique,90,5.216,5.406,5.027,0.56,0.883,0.156,0.728,0.158,0.196,2024
Georgia,91,5.185,5.283,5.087,1.467,0.99,0.524,0.68,0.0,0.174,2024
Iraq,92,5.166,5.283,5.049,1.249,0.996,0.498,0.425,0.141,0.048,2024
Nepal,93,5.158,5.29,5.027,0.965,0.99,0.443,0.653,0.209,0.115,2024
Laos,94,5.139,5.261,5.017,1.208,0.846,0.423,0.796,0.17,0.167,2024
Gabon,95,5.106,5.243,4.969,1.403,1.038,0.344,0.516,0.045,0.1,2024
Ivory Coast,96,5.08,5.224,4.936,1.08,0.578,0.288,0.547,0.12,0.164,2024
Guinea,97,5.023,5.166,4.881,0.831,0.622,0.236,0.521,0.21,0.107,2024
Turkiye,98,4.975,5.085,4.866,1.702,1.175,0.631,0.202,0.068,0.115,2024
Senegal,99,4.969,5.096,4.841,0.927,0.751,0.392,0.607,0.152,0.069,2024
Iran,100,4.923,5.024,4.822,1.435,1.136,0.571,0.366,0.235,0.123,2024
Azerbaijan,101,4.893,5.018,4.768,1.433,0.876,0.496,0.668,0.112,0.199,2024
Nigeria,102,4.881,5.018,4.744,1.042,1.075,0.256,0.566,0.201,0.019,2024
State of Palestine,103,4.879,5.006,4.753,1.2003475862068964,1.0267958620689654,0.5412279005524862,0.5263586206896552,0.1625724137931034,0.1438331034482758,2024
Cameroon,104,4.874,4.996,4.753,0.943,0.856,0.288,0.521,0.126,0.06,2024
Ukraine,105,4.873,4.988,4.758,1.35,1.315,0.513,0.631,0.285,0.025,2024
Namibia,106,4.832,4.958,4.705,1.266,1.212,0.307,0.47,0.069,0.061,2024
Morocco,107,4.795,4.912,4.677,1.213,0.471,0.495,0.631,0.042,0.082,2024
Pakistan,108,4.657,4.779,4.535,1.069,0.6,0.321,0.542,0.144,0.074,2024
Niger,109,4.556,4.712,4.401,0.573,0.677,0.293,0.615,0.145,0.147,2024
Burkina Faso,110,4.548,4.686,4.41,0.756,0.685,0.274,0.483,0.173,0.179,2024
Mauritania,111,4.505,4.673,4.337,1.078,0.705,0.4,0.343,0.133,0.198,2024
Gambia,112,4.485,4.625,4.344,0.75,0.684,0.33,0.459,0.324,0.048,2024
Chad,113,4.471,4.63,4.313,0.603,0.805,0.199,0.411,0.218,0.113,2024
Kenya,114,4.47,4.595,4.344,1.037,0.895,0.353,0.519,0.282,0.069,2024
Tunisia,115,4.422,4.505,4.338,1.306,0.955,0.579,0.254,0.024,0.018,2024
Benin,116,4.377,4.51,4.245,0.914,0.128,0.284,0.567,0.112,0.252,2024
Uganda,117,4.372,4.501,4.243,0.772,1.151,0.373,0.587,0.178,0.054,2024
Myanmar,118,4.354,4.501,4.208,0.978,0.988,0.436,0.45,0.401,0.174,2024
Cambodia,119,4.341,4.446,4.236,1.011,1.019,0.442,0.863,0.17,0.071,2024
Ghana,120,4.289,4.396,4.182,1.077,0.747,0.36,0.623,0.183,0.028,2024
Liberia,121,4.269,4.474,4.063,0.619,0.673,0.301,0.546,0.178,0.075,2024
Mali,122,4.232,4.347,4.117,0.747,0.688,0.267,0.586,0.12,0.09,2024
Madagascar,123,4.228,4.359,4.097,0.628,0.823,0.333,0.25,0.172,0.123,2024
Togo,124,4.214,4.33,4.098,0.758,0.586,0.32,0.453,0.127,0.156,2024
Jordan,125,4.186,4.306,4.066,1.262,0.983,0.594,0.593,0.059,0.189,2024
India,126,4.054,4.123,3.985,1.166,0.653,0.417,0.767,0.174,0.122,2024
Egypt,127,3.977,4.066,3.887,1.37,0.996,0.488,0.49,0.025,0.259,2024
Sri Lanka,128,3.898,4.018,3.778,1.361,1.179,0.586,0.583,0.144,0.031,2024
Bangladesh,129,3.886,3.994,3.778,1.122,0.249,0.513,0.775,0.14,0.167,2024
Ethiopia,130,3.861,3.997,3.725,0.792,0.915,0.42,0.441,0.27,0.101,2024
Tanzania,131,3.781,3.917,3.644,0.82,0.706,0.38,0.709,0.191,0.257,2024
Comoros,132,3.566,3.754,3.378,0.896,0.328,0.37,0.172,0.128,0.16,2024
Yemen,133,3.561,3.714,3.408,0.671,1.281,0.293,0.362,0.08,0.113,2024
Zambia,134,3.502,3.636,3.368,0.899,0.809,0.264,0.727,0.168,0.109,2024
Eswatini,135,3.502,3.673,3.331,1.255,0.925,0.176,0.284,0.059,0.116,2024
Malawi,136,3.421,3.561,3.281,0.617,0.41,0.349,0.571,0.135,0.136,2024
Botswana,137,3.383,3.558,3.209,1.445,0.969,0.241,0.567,0.014,0.082,2024
Zimbabwe,138,3.341,3.457,3.226,0.748,0.85,0.232,0.487,0.096,0.131,2024
Congo (Kinshasa),139,3.295,3.462,3.128,0.534,0.665,0.262,0.473,0.189,0.072,2024
Sierra Leone,140,3.245,3.366,3.124,0.654,0.566,0.253,0.469,0.181,0.053,2024
Lesotho,141,3.186,3.469,2.904,0.771,0.851,0.0,0.523,0.082,0.085,2024
Lebanon,142,2.707,2.797,2.616,1.377,0.577,0.556,0.173,0.068,0.029,2024
Afghanistan,143,1.721,1.775,1.667,0.628,0.0,0.242,0.0,0.091,0.088,2024
